,hsk,hex,hanzi,pinyin,translation
992,4,"['0x6536', '0x62fe']",收拾,shōu shi,"to put in order, to tidy up, to pack, to repair, to punish (colloquial), to manage,"
993,4,"['0x9996', '0x90fd']",首都,shǒu dū,"capital (city), CL:個|个[gè],"
994,4,"['0x9996', '0x5148']",首先,shǒu xiān,"first (of all), in the first place,"
995,4,"['0x53d7', '0x4e0d', '0x4e86']",受不了,shòu bù liǎo,"unbearable, unable to endure, can't stand,"
996,4,"['0x53d7', '0x5230']",受到,shòu dào,"to receive, to suffer, obtained, given,"
997,4,"['0x552e', '0x8d27', '0x5458']",售货员,shòu huò yuán,"salesperson, CL:個|个[gè],"
998,4,['0x8f93'],输,shū,"to lose, to transport, to donate, to enter (a password),"
999,4,"['0x719f', '0x6089']",熟悉,shú xī,"to be familiar with, to know well,"
1000,4,"['0x6570', '0x91cf']",数量,shù liàng,"amount, quantity, CL:個|个[gè], quantitative,"
1001,4,"['0x6570', '0x5b57']",数字,shù zì,"numeral, digit, number, figure, amount, digital (electronics etc), CL:個|个[gè],"
1002,4,['0x5e05'],帅,shuài,"handsome, graceful, smart, commander in chief,"
1003,4,"['0x987a', '0x4fbf']",顺便,shùn biàn,"conveniently, in passing, without much extra effort,"
1004,4,"['0x987a', '0x5229']",顺利,shùn lì,"smoothly, without a hitch,"
1005,4,"['0x987a', '0x5e8f']",顺序,shùn xù,"sequence, order,"
1006,4,"['0x8bf4', '0x660e']",说明,shuō míng,"to explain, to illustrate, to indicate, to show, to prove, explanation, directions, caption, CL:個|个[gè],"
1007,4,"['0x7855', '0x58eb']",硕士,shuò shì,"master's degree, learned person,"
1008,4,['0x6b7b'],死,sǐ,"to die, impassable, uncrossable, inflexible, rigid, extremely,"
1009,4,"['0x901f', '0x5ea6']",速度,sù dù,"speed, rate, velocity, CL:個|个[gè],"
1010,4,"['0x5851', '0x6599', '0x888b']",塑料袋,sù liào dài,"plastic bag,"
1011,4,['0x9178'],酸,suān,"sour, sore, ache, acid,"
1012,4,['0x7b97'],算,suàn,"to regard as, to figure, to calculate, to compute,"
1013,4,"['0x968f', '0x4fbf']",随便,suí biàn,"as one wishes, as one pleases, at random, negligent, casual, wanton,"
1014,4,"['0x968f', '0x7740']",随着,suí zhe,"along with, in the wake of, following,"
1015,4,"['0x5b59', '0x5b50']",孙子,sūn zi,"grandson, son's son,"
1016,4,"['0x6240', '0x6709']",所有,suǒ yǒu,"all, to have, to possess, to own,"
1017,4,['0x62ac'],抬,tái,"to lift, to raise, (of two or more persons) to carry,"
1018,4,['0x53f0'],台,tái,"typhoon,"
1019,4,"['0x6001', '0x5ea6']",态度,tài du,"manner, bearing, attitude, approach, CL:個|个[gè],"
1020,4,['0x8c08'],谈,tán,"to speak, to talk, to converse, to chat, to discuss,"
1021,4,['0x5f39'],弹,tán,"to pluck (a string), to play (a string instrument), to spring or leap, to shoot (e.g. with a catapult), (of cotton) to fluff or tease, to flick, to flip, to accuse, to impeach, elastic (of materials),"
1022,4,['0x6c64'],汤,tāng,"soup, hot or boiling water, decoction of medicinal herbs, water in which sth has been boiled,"
1023,4,['0x8eba'],躺,tǎng,"to recline, to lie down,"
1024,4,['0x8d9f'],趟,tàng,"classifier for times, round trips or rows, a time, a trip,"
1025,4,"['0x8ba8', '0x8bba']",讨论,tǎo lùn,"to discuss, to talk over, CL:個|个[gè],"
1026,4,"['0x8ba8', '0x538c']",讨厌,tǎo yàn,"to dislike, to loathe, disagreeable, troublesome, annoying,"
1027,4,"['0x7279', '0x70b9']",特点,tè diǎn,"characteristic (feature), trait, feature, CL:個|个[gè],"
1028,4,"['0x63d0', '0x4f9b']",提供,tí gōng,"to offer, to supply, to provide, to furnish,"
1029,4,"['0x63d0', '0x524d']",提前,tí qián,"to shift to an earlier date, to do sth ahead of time, in advance,"
1030,4,"['0x63d0', '0x9192']",提醒,tí xǐng,"to remind, to call attention to, to warn of,"
1031,4,"['0x586b', '0x7a7a']",填空,tián kòng,"to fill a job vacancy, to fill in a blank (e.g. on questionnaire or exam paper),"
1032,4,"['0x6761', '0x4ef6']",条件,tiáo jiàn,"condition, circumstances, term, factor, requirement, prerequisite, qualification, CL:個|个[gè],"
1033,4,"['0x505c', '0x6b62']",停止,tíng zhǐ,"to stop, to halt, to cease,"
1034,4,['0x633a'],挺,tǐng,"to stick out, to (physically) straighten up, to endure or hold out, straight, stiff, outstanding, extraordinary, rather, quite, very, classifier for machine guns,"
1035,4,"['0x901a', '0x8fc7']",通过,tōng guò,"by means of, through, via, to pass through, to get through, to adopt, to pass (a bill or inspection etc), to switch over,"
1036,4,"['0x901a', '0x77e5']",通知,tōng zhī,"to notify, to inform, notice, notification, CL:個|个[gè],"
1037,4,"['0x540c', '0x60c5']",同情,tóng qíng,"to sympathize with, sympathy,"
1038,4,['0x63a8'],推,tuī,"to push, to cut, to refuse, to reject, to decline, to shirk (responsibility), to put off, to delay, to push forward, to nominate, to elect,"
1039,4,"['0x63a8', '0x8fdf']",推迟,tuī chí,"to postpone, to put off, to defer,"
1040,4,['0x8131'],脱,tuō,"to shed, to take off, to escape, to get away from,"
1041,4,"['0x889c', '0x5b50']",袜子,wà zi,"socks, stockings, CL:隻|只,對|对,雙|双[shuāng],"
1042,4,"['0x5b8c', '0x5168']",完全,wán quán,"complete, whole, totally, entirely,"
1043,4,['0x5f80'],往,wǎng,"to go (in a direction), to, towards, (of a train) bound for, past, previous,"
1044,4,"['0x5f80', '0x5f80']",往往,wǎng wǎng,"often, frequently,"
1045,4,"['0x7f51', '0x7403']",网球,wǎng qiú,"tennis, CL:個|个[gè],"
1046,4,"['0x7f51', '0x7ad9']",网站,wǎng zhàn,"website, network station, node,"
1047,4,"['0x5371', '0x9669']",危险,wēi xiǎn,"danger, dangerous,"
1048,4,"['0x5473', '0x9053']",味道,wèi dao,"flavor, smell, hint of,"
1049,4,"['0x6e29', '0x5ea6']",温度,wēn dù,"temperature, CL:個|个[gè],"
1050,4,"['0x6587', '0x7ae0']",文章,wén zhāng,"article, essay, literary works, writings, hidden meaning, CL:篇,段,頁|页[yè],"
1051,4,"['0x63e1', '0x624b']",握手,wò shǒu,"to shake hands,"
1052,4,"['0x6c61', '0x67d3']",污染,wū rǎn,"pollution, contamination, CL:個|个[gè],"
1053,4,['0x65e0'],无,wú,"-less, not to have, no, none, not, to lack, un-,"
1054,4,"['0x65e0', '0x804a']",无聊,wú liáo,"bored, boring, senseless,"
1055,4,"['0x65e0', '0x8bba']",无论,wú lùn,"no matter what or how, regardless of whether...,"
1056,4,"['0x8bef', '0x4f1a']",误会,wù huì,"to misunderstand, to mistake, misunderstanding, CL:個|个[gè],"
1057,4,"['0x897f', '0x7ea2', '0x67ff']",西红柿,xī hóng shì,"tomato, CL:隻|只[zhī],"
1058,4,"['0x5438', '0x5f15']",吸引,xī yǐn,"to attract (interest, investment etc), CL:個|个[gè],"
1059,4,"['0x6d17', '0x8863', '0x673a']",洗衣机,xǐ yī jī,"washer, washing machine, CL:臺|台[tái],"
1060,4,['0x54b8'],咸,xián,"salted, salty, stingy, miserly,"
1061,4,"['0x73b0', '0x4ee3']",现代,xiàn dài,"modern times, modern age, modern era,"
1062,4,"['0x7fa1', '0x6155']",羡慕,xiàn mù,"to envy, to admire,"
1063,4,"['0x9650', '0x5236']",限制,xiàn zhì,"to restrict, to limit, to confine, restriction, limit, CL:個|个[gè],"
1064,4,['0x9999'],香,xiāng,"fragrant, sweet smelling, aromatic, savory or appetizing, (to eat) with relish, (of sleep) sound, perfume or spice, joss or incense stick, CL:根[gēn],"
1065,4,"['0x76f8', '0x53cd']",相反,xiāng fǎn,"opposite, contrary,"
1066,4,"['0x8be6', '0x7ec6']",详细,xiáng xì,"detailed, in detail, minute,"
1067,4,['0x54cd'],响,xiǎng,"echo, sound, noise, to make a sound, to sound, to ring, loud, classifier for noises,"
1068,4,"['0x6d88', '0x606f']",消息,xiāo xi,"news, information, CL:條|条[tiáo],"
1069,4,"['0x5c0f', '0x8bf4']",小说,xiǎo shuō,"novel, fiction, CL:本,部[bù],"
1070,4,"['0x7b11', '0x8bdd']",笑话,xiào huà,"joke, jest, CL:個|个[gè], to laugh at, to mock,"
1071,4,"['0x6548', '0x679c']",效果,xiào guǒ,"result, effect, quality, CL:個|个[gè],"
1072,4,"['0x5fc3', '0x60c5']",心情,xīn qíng,"mood, frame of mind, CL:個|个[gè],"
1073,4,"['0x8f9b', '0x82e6']",辛苦,xīn kǔ,"hard, exhausting, with much toil, thanks for your trouble,"
1074,4,"['0x4fe1', '0x4efb']",信任,xìn rèn,"to trust, to have confidence in,"
1075,4,"['0x4fe1', '0x5fc3']",信心,xìn xīn,"confidence, faith (in sb or sth), CL:個|个[gè],"
1076,4,"['0x4fe1', '0x7528', '0x5361']",信用卡,xìn yòng kǎ,"credit card,"
1077,4,"['0x5174', '0x594b']",兴奋,xīng fèn,"excited, excitement,"
1078,4,['0x884c'],行,xíng,"to walk, to go, to travel, a visit, temporary, makeshift, current, in circulation, to do, to perform, capable, competent, effective, all right, OK!, will do,"
1079,4,['0x9192'],醒,xǐng,"to wake up, to awaken, to be awake,"
1080,4,"['0x6027', '0x522b']",性别,xìng bié,"gender, sex, distinguishing between the sexes,"
1081,4,"['0x6027', '0x683c']",性格,xìng gé,"nature, disposition, temperament, character, CL:個|个[gè],"
1082,4,"['0x5e78', '0x798f']",幸福,xìng fú,"happiness, happy, blessed,"
1083,4,['0x4fee'],修,xiū,"to decorate, to embellish, to repair, to build, to study, to write, to cultivate,"
1084,4,"['0x8bb8', '0x591a']",许多,xǔ duō,"many, a lot of, much,"
1085,4,['0x8840'],血,xuè,"blood, informal colloquial and Taiwan pr. [xiě], also pr. [xuě], CL:滴,片[piàn],"
1086,4,"['0x538b', '0x529b']",压力,yā lì,"pressure,"
1087,4,"['0x7259', '0x818f']",牙膏,yá gāo,"toothpaste, CL:管[guǎn],"
1088,4,"['0x4e9a', '0x6d32']",亚洲,Yà zhōu,"Asia, Asian,"
1089,4,['0x5440'],呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt),"
1090,4,['0x76d0'],盐,yán,"salt, CL:粒[lì],"
1091,4,"['0x4e25', '0x683c']",严格,yán gé,"strict, stringent, tight, rigorous,"
1092,4,"['0x4e25', '0x91cd']",严重,yán zhòng,"grave, serious, severe, critical,"
1093,4,"['0x7814', '0x7a76', '0x751f']",研究生,yán jiū shēng,"graduate student, postgraduate student, research student,"
1094,4,"['0x6f14', '0x51fa']",演出,yǎn chū,"to act (in a play), to perform, to put on (a performance), performance, concert, show, CL:場|场,次[cì],"
1095,4,"['0x6f14', '0x5458']",演员,yǎn yuán,"actor or actress, performer, CL:個|个,位,名[míng],"
1096,4,"['0x9633', '0x5149']",阳光,yáng guāng,"sunshine, CL:線|线[xiàn],"
1097,4,"['0x517b', '0x6210']",养成,yǎng chéng,"to cultivate, to raise, to form (a habit), to acquire,"
1098,4,"['0x6837', '0x5b50']",样子,yàng zi,"appearance, manner, pattern, model,"
1099,4,"['0x9080', '0x8bf7']",邀请,yāo qǐng,"to invite, invitation, CL:個|个[gè],"
1100,4,"['0x94a5', '0x5319']",钥匙,yào shi,"key, CL:把[bǎ],"
1101,4,"['0x4e5f', '0x8bb8']",也许,yě xǔ,"perhaps, maybe,"
1102,4,['0x9875'],页,yè,"page, leaf,"
1103,4,"['0x53f6', '0x5b50']",叶子,yè zi,"foliage, leaf, CL:片[piàn],"
1104,4,"['0x4e00', '0x5207']",一切,yī qiè,"everything, every, all,"
1105,4,['0x4ee5'],以,yǐ,"to use, according to, so as to, by means of, in order to, by, with, because,"
1106,4,['0x4ebf'],亿,yì,"100 million,"
1107,4,"['0x610f', '0x89c1']",意见,yì jiàn,"idea, opinion, suggestion, objection, complaint, CL:點|点,條|条[tiáo],"
1108,4,"['0x827a', '0x672f']",艺术,yì shù,"art,"
1109,4,"['0x56e0', '0x6b64']",因此,yīn cǐ,"thus, consequently, as a result,"
1110,4,"['0x5f15', '0x8d77']",引起,yǐn qǐ,"to give rise to, to lead to, to cause, to arouse,"
1111,4,"['0x996e', '0x6599']",饮料,yǐn liào,"drink, beverage,"
1112,4,"['0x5370', '0x8c61']",印象,yìn xiàng,"impression,"
1113,4,['0x8d62'],赢,yíng,"to beat, to win, to profit,"
1114,4,['0x786c'],硬,yìng,"hard, stiff, strong, firm, resolutely, doggedly, good (quality), able (person),"
1115,4,"['0x52c7', '0x6562']",勇敢,yǒng gǎn,"brave, courageous,"
1116,4,"['0x6c38', '0x8fdc']",永远,yǒng yuǎn,"forever, eternal,"
1117,4,"['0x4f18', '0x70b9']",优点,yōu diǎn,"merit, benefit, strong point, advantage, CL:個|个[gè],"
1118,4,"['0x4f18', '0x79c0']",优秀,yōu xiù,"outstanding, excellent,"
1119,4,"['0x5e7d', '0x9ed8']",幽默,yōu mò,"(loanword) humor, humorous,"
1120,4,['0x7531'],由,yóu,"to follow, from, it is for...to, reason, cause, because of, due to, to, to leave it (to sb), by (introduces passive verb),"
1121,4,"['0x7531', '0x4e8e']",由于,yóu yú,"due to, as a result of, thanks to, owing to, since, because,"
1122,4,"['0x5c24', '0x5176']",尤其,yóu qí,"especially, particularly,"
1123,4,"['0x6709', '0x8da3']",有趣,yǒu qù,"interesting, fascinating, amusing,"
1124,4,"['0x53cb', '0x597d']",友好,yǒu hǎo,"friendly, amicable, close friend,"
1125,4,"['0x53cb', '0x8c0a']",友谊,yǒu yì,"companionship, fellowship, friendship,"
1126,4,"['0x6109', '0x5feb']",愉快,yú kuài,"cheerful, cheerily, delightful, pleasant, pleasantly, pleasing, happy, delighted,"
1127,4,"['0x4e8e', '0x662f']",于是,yú shì,"thereupon, as a result, consequently, thus, hence,"
1128,4,['0x4e0e'],与,yǔ,"and, to give, together with,"
1129,4,"['0x8bed', '0x6cd5']",语法,yǔ fǎ,"grammar,"
1130,4,"['0x8bed', '0x8a00']",语言,yǔ yán,"language, CL:門|门,種|种[zhǒng],"
1131,4,"['0x7fbd', '0x6bdb', '0x7403']",羽毛球,yǔ máo qiú,"shuttlecock, badminton, CL:個|个[gè],"
1132,4,"['0x9884', '0x4e60']",预习,yù xí,"to prepare a lesson,"
1133,4,['0x5706'],圆,yuán,"circle, round, circular, spherical, (of the moon) full, unit of Chinese currency (Yuan), tactful, to justify,"
1134,4,"['0x539f', '0x6765']",原来,yuán lái,"original, former, originally, formerly, at first, so, actually, as it turns out,"
1135,4,"['0x539f', '0x8c05']",原谅,yuán liàng,"to excuse, to forgive, to pardon,"
1136,4,"['0x539f', '0x56e0']",原因,yuán yīn,"cause, origin, root cause, reason, CL:個|个[gè],"
1137,4,"['0x7ea6', '0x4f1a']",约会,yuē huì,"appointment, engagement, date, CL:次,個|个[gè], to arrange to meet,"
1138,4,"['0x9605', '0x8bfb']",阅读,yuè dú,"to read, reading,"
1139,4,"['0x5141', '0x8bb8']",允许,yǔn xǔ,"to permit, to allow,"
1140,4,"['0x6742', '0x5fd7']",杂志,zá zhì,"magazine, CL:本,份,期[qī],"
1141,4,"['0x54b1', '0x4eec']",咱们,zán men,"we or us (including both the speaker and the person(s) spoken to), I or me, you,"
1142,4,"['0x6682', '0x65f6']",暂时,zàn shí,"temporary, provisional, for the time being,"
1143,4,['0x810f'],脏,zāng,"dirty, filthy,"
1144,4,"['0x8d23', '0x4efb']",责任,zé rèn,"responsibility, blame, duty, CL:個|个[gè],"
1145,4,"['0x589e', '0x52a0']",增加,zēng jiā,"to raise, to increase,"
1146,4,"['0x589e', '0x957f']",增长,zēng zhǎng,"to grow, to increase,"
1147,4,['0x7a84'],窄,zhǎi,"narrow, narrow-minded, badly off,"
1148,4,"['0x62db', '0x8058']",招聘,zhāo pìn,"recruitment, to invite applications for a job,"
1149,4,"['0x771f', '0x6b63']",真正,zhēn zhèng,"genuine, real, true, genuinely,"
1150,4,"['0x6574', '0x7406']",整理,zhěng lǐ,"to arrange, to tidy up, to sort out, to straighten out, to list systematically, to collate (data, files), to pack (luggage),"
1151,4,"['0x6574', '0x9f50']",整齐,zhěng qí,"orderly, neat, even, tidy,"
1152,4,"['0x6b63', '0x5e38']",正常,zhèng cháng,"regular, normal, ordinary,"
1153,4,"['0x6b63', '0x597d']",正好,zhèng hǎo,"just (in time), just right, just enough, to happen to, to chance to, by chance, it just so happens that,"
1154,4,"['0x6b63', '0x786e']",正确,zhèng què,"correct, proper,"
1155,4,"['0x6b63', '0x5f0f']",正式,zhèng shì,"formal, official,"
1156,4,"['0x8bc1', '0x660e']",证明,zhèng míng,"proof, certificate, identification, testimonial, CL:個|个[gè], to prove, to testify, to confirm the truth of,"
1157,4,['0x4e4b'],之,zhī,"(possessive particle, literary equivalent of 的), him, her, it,"
1158,4,"['0x652f', '0x6301']",支持,zhī chí,"to be in favor of, to support, to back, support, backing, to stand by, CL:個|个[gè],"
1159,4,"['0x77e5', '0x8bc6']",知识,zhī shi,"intellectual, knowledge-related, knowledge, CL:門|门[mén],"
1160,4,"['0x76f4', '0x63a5']",直接,zhí jiē,"direct, opposite: indirect 間接|间接, immediate, directly, straightforward,"
1161,4,"['0x503c', '0x5f97']",值得,zhí de,"to be worth, to deserve,"
1162,4,"['0x804c', '0x4e1a']",职业,zhí yè,"occupation, profession, vocation, professional,"
1163,4,"['0x690d', '0x7269']",植物,zhí wù,"botanical, plant, vegetation, CL:種|种[zhǒng],"
1164,4,['0x6307'],指,zhǐ,"finger, to point at or to, to indicate or refer to, to depend on, to count on, (of hair) to stand on end,"
1165,4,"['0x53ea', '0x597d']",只好,zhǐ hǎo,"without any better option, to have to, to be forced to,"
1166,4,"['0x53ea', '0x8981']",只要,zhǐ yào,"if only, so long as,"
1167,4,"['0x5236', '0x9020']",制造,zhì zào,"to manufacture, to make,"
1168,4,"['0x81f3', '0x5c11']",至少,zhì shǎo,"at least, (to say the) least,"
1169,4,"['0x8d28', '0x91cf']",质量,zhì liàng,"quality, mass (in physics), CL:個|个[gè],"
1170,4,"['0x4e2d', '0x6587']",中文,Zhōng wén,"Chinese, Chinese written language, Chinese writing,"
1171,4,"['0x91cd', '0x70b9']",重点,zhòng diǎn,"important point, main point, focus, key (project etc), to focus on, to put the emphasis on,"
1172,4,"['0x91cd', '0x89c6']",重视,zhòng shì,"to attach importance to sth, to value,"
1173,4,"['0x5468', '0x56f4']",周围,zhōu wéi,"surroundings, environment, to encompass,"
1174,4,['0x732a'],猪,zhū,"hog, pig, swine, CL:口,頭|头[tóu],"
1175,4,"['0x9010', '0x6e10']",逐渐,zhú jiàn,"gradually,"
1176,4,"['0x4e3b', '0x52a8']",主动,zhǔ dòng,"to take the initiative, to do sth of one's own accord, spontaneous, active, opposite: passive 被動|被动[bèi dòng], drive (of gears and shafts etc),"
1177,4,"['0x4e3b', '0x610f']",主意,zhǔ yi,"plan, idea, decision, CL:個|个[gè],"
1178,4,"['0x795d', '0x8d3a']",祝贺,zhù hè,"to congratulate, congratulations, CL:個|个[gè],"
1179,4,"['0x8457', '0x540d']",著名,zhù míng,"famous, noted, well-known, celebrated,"
1180,4,"['0x4e13', '0x95e8']",专门,zhuān mén,"specialist, specialized, customized,"
1181,4,"['0x4e13', '0x4e1a']",专业,zhuān yè,"specialty, specialized field, main field of study (at university), major, CL:門|门,個|个[gè], professional,"
1182,4,['0x8d5a'],赚,zhuàn,"to earn, to make a profit,"
1183,4,['0x649e'],撞,zhuàng,"to hit, to strike, to meet by accident, to run into, to bump against, to bump into,"
1184,4,"['0x51c6', '0x786e']",准确,zhǔn què,"accurate, exact, precise,"
1185,4,"['0x51c6', '0x65f6']",准时,zhǔn shí,"on time, punctual, on schedule,"
1186,4,"['0x4ed4', '0x7ec6']",仔细,zǐ xì,"careful, attentive, cautious,"
1187,4,"['0x81ea', '0x7136']",自然,zì rán,"nature, natural, naturally,"
1188,4,"['0x603b', '0x7ed3']",总结,zǒng jié,"to sum up, to conclude, summary, résumé, CL:個|个[gè],"
1189,4,['0x79df'],租,zū,"to hire, to rent, to charter, to rent out, to lease out, rent, land tax,"
1190,4,"['0x7ec4', '0x6210']",组成,zǔ chéng,"to form, to make up, to constitute,"
1191,4,"['0x7ec4', '0x7ec7']",组织,zǔ zhī,"to organize, organization, organized system, nerve, tissue, CL:個|个[gè],"
1192,4,['0x5634'],嘴,zuǐ,"mouth, beak, nozzle, spout (of teapot etc), CL:張|张,個|个[gè],"
1193,4,"['0x6700', '0x597d']",最好,zuì hǎo,"best, (you) had better (do what we suggest),"
1194,4,"['0x6700', '0x540e']",最后,zuì hòu,"final, last, finally, ultimate,"
1195,4,"['0x5c0a', '0x91cd']",尊重,zūn zhòng,"to esteem, to respect, to honor, to value, eminent, serious, proper,"
1196,4,"['0x505a', '0x751f', '0x610f']",做生意,zuò shēng yì,"to do business,"
1197,4,['0x5ea7'],座,zuò,"seat, base, stand, CL:個|个[gè], classifier for buildings, mountains and similar immovable objects,"
1198,4,"['0x5ea7', '0x4f4d']",座位,zuò wèi,"seat, CL:個|个[gè],"
1199,4,"['0x4f5c', '0x8005']",作者,zuò zhě,"author, writer, CL:個|个[gè],"
1200,5,['0x5509'],唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,"
1201,5,"['0x7231', '0x62a4']",爱护,ài hù,"to cherish, to treasure, to take care of, to love and protect,"
1202,5,"['0x7231', '0x60dc']",爱惜,ài xī,"to cherish, to treasure, to use sparingly,"
1203,5,"['0x7231', '0x5fc3']",爱心,ài xīn,"compassion, CL:片[piàn],"
1204,5,"['0x5b89', '0x6170']",安慰,ān wèi,"to comfort, to console, CL:個|个[gè],"
1205,5,"['0x5b89', '0x88c5']",安装,ān zhuāng,"to install, to erect, to fix, to mount, installation,"
1206,5,['0x5cb8'],岸,àn,"bank, shore, beach, coast, CL:個|个[gè],"
1207,5,"['0x628a', '0x63e1']",把握,bǎ wò,"to grasp (also fig.), to seize, to hold, assurance, certainty, sure (of the outcome),"
1208,5,['0x6446'],摆,bǎi,"to arrange, to exhibit, to move to and fro, a pendulum,"
1209,5,"['0x73ed', '0x4e3b', '0x4efb']",班主任,bān zhǔ rèn,"teacher in charge of a class,"
1210,5,"['0x529e', '0x7406']",办理,bàn lǐ,"to handle, to transact, to conduct,"
1211,5,['0x68d2'],棒,bàng,"a stick, club or cudgel, smart, capable, strong, wonderful, classifier for legs of a relay race,"
1212,5,"['0x508d', '0x665a']",傍晚,bàng wǎn,"in the evening, when night falls, towards evening, at night fall, at dusk,"
1213,5,"['0x5305', '0x88f9']",包裹,bāo guǒ,"wrap up, bind up, bundle, parcel, package, CL:個|个[gè],"
1214,5,"['0x5305', '0x542b']",包含,bāo hán,"to contain, to embody, to include,"
1215,5,"['0x5305', '0x5b50']",包子,bāo zi,"steamed stuffed bun, CL:個|个[gè],"
1216,5,['0x8584'],薄,báo,"thin, cold in manner, indifferent, weak, light, infertile,"
1217,5,"['0x5b9d', '0x8d1d']",宝贝,bǎo bèi,"treasured object, treasure, darling, baby, cowry, good-for-nothing or queer character,"
1218,5,"['0x5b9d', '0x8d35']",宝贵,bǎo guì,"valuable, precious, to value, to treasure, to set store by,"
1219,5,"['0x4fdd', '0x6301']",保持,bǎo chí,"to keep, to maintain, to hold, to preserve,"
1220,5,"['0x4fdd', '0x5b58']",保存,bǎo cún,"to conserve, to preserve, to keep, to save (a file etc) (computing),"
1221,5,"['0x4fdd', '0x7559']",保留,bǎo liú,"to retain, to continue to have, to preserve, to maintain, to reserve, reservations, to hold back (approval or acceptance),"
1222,5,"['0x4fdd', '0x9669']",保险,bǎo xiǎn,"insurance, to insure, safe, secure, be sure, be bound to, CL:份[fèn],"
1223,5,"['0x62a5', '0x544a']",报告,bào gào,"to inform, to report, to make known, speech, talk, lecture, CL:篇,份,個|个,通[tòng],"
1224,5,"['0x60b2', '0x89c2']",悲观,bēi guān,"pessimistic,"
1225,5,"['0x88ab', '0x5b50']",被子,bèi zi,"quilt, CL:床[chuáng],"
1226,5,['0x80cc'],背,bèi,"the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,"
1227,5,"['0x80cc', '0x666f']",背景,bèi jǐng,"background, backdrop, context, CL:種|种[zhǒng],"
1228,5,"['0x672c', '0x79d1']",本科,běn kē,"undergraduate course, undergraduate (adjective),"
1229,5,"['0x672c', '0x9886']",本领,běn lǐng,"skill, ability, capability, CL:項|项,個|个[gè],"
1230,5,"['0x672c', '0x8d28']",本质,běn zhì,"essence, nature, innate character, intrinsic quality,"
1231,5,"['0x6bd4', '0x4f8b']",比例,bǐ lì,"proportion, scale,"
1232,5,"['0x6bd4', '0x5982']",比如,bǐ rú,"for example, for instance, such as,"
1233,5,"['0x5f7c', '0x6b64']",彼此,bǐ cǐ,"each other, one another,"
1234,5,"['0x5fc5', '0x7136']",必然,bì rán,"inevitable, certain, necessity,"
1235,5,"['0x5fc5', '0x9700']",必需,bì xū,"to need, to require, essential, indispensable,"
1236,5,"['0x5fc5', '0x8981']",必要,bì yào,"necessary, essential, indispensable, required,"
1237,5,"['0x6bd5', '0x7adf']",毕竟,bì jìng,"after all, all in all, when all is said and done, in the final analysis,"
1238,5,"['0x907f', '0x514d']",避免,bì miǎn,"to avert, to prevent, to avoid, to refrain from,"
1239,5,"['0x97ad', '0x70ae']",鞭炮,biān pào,"firecrackers, a string of small firecrackers, CL:枚[méi],"
1240,5,"['0x7f16', '0x8f91']",编辑,biān jí,"to edit, to compile, editor, compiler,"
1241,5,['0x4fbf'],便,biàn,"ordinary, plain, convenient, as convenient, when the chance arises, handy, easy, informal, simple, so, thus, to relieve oneself, to urinate, to defecate, equivalent to 就: then, in that case, even if, soon afterwards,"
1242,5,"['0x8fa9', '0x8bba']",辩论,biàn lùn,"debate, argument, to argue over, CL:場|场,次[cì],"
1243,5,"['0x6807', '0x70b9']",标点,biāo diǎn,"punctuation, a punctuation mark, to punctuate, CL:個|个[gè],"
1244,5,"['0x6807', '0x5fd7']",标志,biāo zhì,"sign, mark, symbol, to symbolize, to indicate, to mark,"
1245,5,"['0x8868', '0x9762']",表面,biǎo miàn,"surface, face, outside, appearance,"
1246,5,"['0x8868', '0x660e']",表明,biǎo míng,"to make clear, to make known, to state clearly, to indicate, known,"
1247,5,"['0x8868', '0x60c5']",表情,biǎo qíng,"(facial) expression, to express one's feelings, expression,"
1248,5,"['0x8868', '0x73b0']",表现,biǎo xiàn,"to show, to show off, to display, to manifest, expression, manifestation, show, display, performance (at work etc), behavior,"
1249,5,['0x4e19'],丙,bǐng,"third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl,"
1250,5,"['0x75c5', '0x6bd2']",病毒,bìng dú,"virus,"
1251,5,"['0x73bb', '0x7483']",玻璃,bō li,"glass, nylon, plastic, CL:張|张,塊|块[kuài],"
1252,5,"['0x535a', '0x7269', '0x9986']",博物馆,bó wù guǎn,"museum,"
1253,5,"['0x8116', '0x5b50']",脖子,bó zi,"neck, CL:個|个[gè],"
1254,5,"['0x4e0d', '0x5fc5']",不必,bù bì,"need not, does not have to, not necessarily,"
1255,5,"['0x4e0d', '0x65ad']",不断,bù duàn,"unceasing, uninterrupted, continuous, constant,"
1256,5,"['0x4e0d', '0x89c1', '0x5f97']",不见得,bù jiàn de,"not necessarily, not likely,"
1257,5,"['0x4e0d', '0x8010', '0x70e6']",不耐烦,bù nài fán,"impatience, impatient,"
1258,5,"['0x4e0d', '0x8981', '0x7d27']",不要紧,bù yào jǐn,"unimportant, not serious, it doesn't matter, never mind, it looks all right, but,"
1259,5,"['0x8865', '0x5145']",补充,bǔ chōng,"to replenish, to supplement, to complement, additional, supplementary, CL:個|个[gè],"
